Posisi,Perusahaan,Lokasi,Gaji,Waktu
Freelance Konsultan Statistika,Brain Project,Yogyakarta,Gaji tidak disebutkan,8 jam yang lalu
Data Management,2details sunter,Jakarta Utara,Gaji tidak disebutkan,12 jam yang lalu
Operations Analyst,Xtramile Solutions Pty Ltd,Jakarta Raya,Gaji tidak disebutkan,14 jam yang lalu
IT Business Analyst,PT. Entrepreneur Trust Digital,Jakarta Pusat,Rp 8.000.000 – Rp 10.500.000 per month,1 hari yang lalu
Data Engineer/ETL,PT. Entrepreneur Trust Digital,Jakarta Pusat,Rp 8.000.000 – Rp 10.000.000 per month,1 hari yang lalu
AI Visual Specialist,PT. LAXMI UTAMA,Jakarta Pusat,Rp 5.000.000 – Rp 7.000.000 per month,1 hari yang lalu
Data Scientist,Macquarie Group,Indonesia,Gaji tidak disebutkan,1 hari yang lalu
Claim Reporting Executive,Halodoc,Kebayoran Lama,Gaji tidak disebutkan,1 hari yang lalu
RC Data Analyst Trainee,PT. SASANA CIPTA MULIA,Kalimantan Barat,Gaji tidak disebutkan,1 hari yang lalu
data processing surveyor,PT Tigenco Graha Persada,Jakarta Timur,Gaji tidak disebutkan,1 hari yang lalu
IT Data Privacy & Information Security Officer,PT CIMB Niaga Auto Finance,Tangerang Selatan,Gaji tidak disebutkan,1 hari yang lalu
Data Engineer,PT. Berca Hardayaperkasa,Jakarta Raya,Gaji tidak disebutkan,1 hari yang lalu
Data Engineer/ETL,PT Lawencon Internasional,Kebayoran Lama,Gaji tidak disebutkan,1 hari yang lalu
Project Manager,TLab,Yogyakarta,Gaji tidak disebutkan,1 hari yang lalu
Geospatial Datascience Officer,"PT SMART,Tbk",Jakarta Raya,Gaji tidak disebutkan,1 hari yang lalu
Data Analyst,PT Higo Fitur Indonesia,Jakarta Barat,Rp 5.700.000 – Rp 7.000.000 per month,1 hari yang lalu
AI Innovation Specialist,PT Menjangan Sakti,Jakarta Timur,Gaji tidak disebutkan,1 hari yang lalu
Project Coordinator,Central Data Technology,Jakarta Raya,Gaji tidak disebutkan,1 hari yang lalu
Data Modeler,PT Nityo Infotech,Jakarta Pusat,Rp 20.000.000 – Rp 25.000.000 per month,1 hari yang lalu
Database Engineer (Telco),PT Nityo Infotech,Jakarta Pusat,Rp 20.000.000 – Rp 30.000.000 per month,1 hari yang lalu
Admin Data Analyst,PT Fullmoon Jaya Abadi,Jakarta Utara,Gaji tidak disebutkan,1 hari yang lalu
Facility Data & Analytics Department Head,PT Lippo Malls Indonesia,Jakarta Barat,Gaji tidak disebutkan,1 hari yang lalu
Data Analyst,PT Adibayu Gajah Semakmur,Yogyakarta,Gaji tidak disebutkan,1 hari yang lalu
AI Full Stack Platform Engineer,Jackson Ventures,Jakarta Raya,"Rp 10,000,000 – Rp 15,000,000 per month",1 hari yang lalu
Data (Promo) Analyst Junior Manager,PT Bina Karya Prima,Jakarta Utara,Gaji tidak disebutkan,1 hari yang lalu
Data Architect,PT Lawencon Internasional,Jakarta Selatan,Gaji tidak disebutkan,1 hari yang lalu
Data Engineer (Freelance),PT Data Labs Analytics,Jakarta Pusat,Gaji tidak disebutkan,1 hari yang lalu
Data Analyst,PT Rama Putra Djaya,Jakarta Raya,Gaji tidak disebutkan,2 hari yang lalu
Data Engineer,Macquarie Group,Indonesia,Gaji tidak disebutkan,2 hari yang lalu
Business Analyst,Macquarie Group,Indonesia,Gaji tidak disebutkan,2 hari yang lalu
Senior Client Tax Analyst,Macquarie Group,Indonesia,Gaji tidak disebutkan,2 hari yang lalu
Data Management Staff,PT Rusli Vinilon Sakti,Jakarta Raya,Rp 5.600.000 – Rp 7.000.000 per month,2 hari yang lalu
Data Engineer,PT Rsystems Ibizcs International,Tangerang,Rp 7.500.000 – Rp 11.000.000 per month,2 hari yang lalu
Business Analyst,PT Petra Sejahtera Abadi,Tangerang Selatan,Gaji tidak disebutkan,2 hari yang lalu
PT. Dirgaputra Ekapratama,PT. Dirgaputra Ekapratama,Jakarta Raya,Gaji tidak disebutkan,2 hari yang lalu
Suppy Chain Internship (Data Administration),PT Tiara agung Pratama,Bogor,Gaji tidak disebutkan,2 hari yang lalu
E-Commerce Data Analyst (Talent Pool),Future Commerce Indonesia,Jakarta Utara,Rp 8.000.000 – Rp 12.000.000 per month,2 hari yang lalu
Data Engineer,PT Biznet Gio Nusantara,Jakarta Raya,Gaji tidak disebutkan,2 hari yang lalu
Data Engineer,Biznet Data,Jakarta Raya,Gaji tidak disebutkan,2 hari yang lalu
Operations Support,Plexicus,Sleman,"Rp 6,000,000 – Rp 9,000,000 per month",2 hari yang lalu
Marketing Specialist,FIFGROUP Cab Sragen,Sragen,Gaji tidak disebutkan,2 hari yang lalu
Computer Vision Engineer (C/C++),PT Alfabeta Solusi Nusantara,Jakarta Raya,Gaji tidak disebutkan,2 hari yang lalu
IOT Developer - Kalimantan Timur (Mining Industry),PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Berau,Gaji tidak disebutkan,2 hari yang lalu
IoT Developer for Mining Industry,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Kalimantan Utara,Rp 4.000.000 – Rp 6.000.000 per month,2 hari yang lalu
Data Analyst Staff,PT Global Retailindo Pratama (Minimart ),Denpasar,Gaji tidak disebutkan,2 hari yang lalu
Data Analyst | Gramedia,Kompas Gramedia - KG Media,Kalideres,Gaji tidak disebutkan,2 hari yang lalu
Trader / Market Analyst (Forex/Crypto),PT. Indo Inovasi Teknologi,Bali,Rp 4.500.000 – Rp 6.500.000 per month,2 hari yang lalu
Business Intelligence,Altius Hospital,Jakarta Barat,Gaji tidak disebutkan,2 hari yang lalu
Data Analyst Staff,PT Mazuta Bima Tek,Surabaya,Gaji tidak disebutkan,2 hari yang lalu
Data Analyst,PT Cerdas Digital Nusantara,Kecamatan Tangerang,Gaji tidak disebutkan,2 hari yang lalu
Enterprise Data AI Architect,Macquarie Group,Indonesia,Gaji tidak disebutkan,2 hari yang lalu
Deep Learning Researcher - AI Programmer,"FinShot, Inc.",Jakarta Raya,Rp 8.000.000 – Rp 11.000.000 per month,2 hari yang lalu
AI & Data Scientist (FMCG -  Contract Based),PT. Berca Hardayaperkasa,Jakarta Raya,Gaji tidak disebutkan,2 hari yang lalu
Data Architect (GCP),PT Nityo Infotech,Jakarta Pusat,Gaji tidak disebutkan,2 hari yang lalu
Admin Data HRD,Bebek Carok,Malang,Gaji tidak disebutkan,2 hari yang lalu
Medior/Senior Data Engineer (Web Scrapping),NucleusX B.V,Denpasar Selatan,Rp 12.000.000 – Rp 18.000.000 per month,2 hari yang lalu
Senior Data Engineer,PT. LOTTE INNOVATE INDONESIA,Cilegon,Gaji tidak disebutkan,2 hari yang lalu
Senior AI Engineer,PT. LOTTE INNOVATE INDONESIA,Cilegon,Gaji tidak disebutkan,2 hari yang lalu
Master Data Analyst,PT Amman Mineral Nusa Tenggara,Sumbawa Barat,Gaji tidak disebutkan,2 hari yang lalu
PDCA,PT Batik Sukses Sejahtera,Cirebon,Rp 2.800.000 – Rp 3.300.000 per month,2 hari yang lalu
Data Engineer,Catalyst,Kebayoran Lama,Gaji tidak disebutkan,2 hari yang lalu
Actuarial Pricing and Portfolio Monitoring,PT Chubb General Insurance Indonesia,Indonesia,Gaji tidak disebutkan,3 hari yang lalu
PMO Administrator,Datalec Precision Installations Pte Ltd,Batam,Gaji tidak disebutkan,3 hari yang lalu
Data Specialist - Jakarta,Xiaomi Technology,Jakarta Raya,Gaji tidak disebutkan,3 hari yang lalu
BI Platform Engineer - Data Dev (Loc: Jakarta Utara),PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Raya,Gaji tidak disebutkan,3 hari yang lalu
Cloud & Endpoint Security Administrator,PT Simplify Consulting Indonesia,Jakarta Raya,Gaji tidak disebutkan,3 hari yang lalu
Data & System Integration Specialist,PT Hikari Indo Sarana,Jakarta Barat,Rp 7.500.000 – Rp 9.000.000 per month,3 hari yang lalu
Data & AI Engineer,PT Mastersystem Infotama,Kemayoran,Gaji tidak disebutkan,3 hari yang lalu
Position,"PT Summarecon Agung, Tbk",Kecamatan Tangerang,Gaji tidak disebutkan,3 hari yang lalu
DATA ANALYST STAFF,"PT Delta Giri Wacana, Tbk.",Jakarta Utara,Gaji tidak disebutkan,3 hari yang lalu
ETL Developer,PT Appfuxion Consulting,Jakarta Raya,Gaji tidak disebutkan,3 hari yang lalu
AI Automation & Systems Specialist,PT Seneco Group Indonesia,Bali,Rp 8.000.000 – Rp 12.000.000 per month,3 hari yang lalu
Data Engineer,"PT Japfa Comfeed Indonesia, Tbk",Surabaya,Gaji tidak disebutkan,3 hari yang lalu
DATA ANALYST,PT Asuransi Jiwa Syariah Al Amin,Jakarta Raya,Rp 6.000.000 – Rp 6.500.000 per month,3 hari yang lalu
"Strategy, Data & Reporting Analyst",PT Bolttech Device Protection Indonesia” (“bolttech”),Jakarta Raya,Gaji tidak disebutkan,3 hari yang lalu
Data Analitics,PT Kinarya Alihdaya Mandiri,Jakarta Selatan,Rp 5.700.000 – Rp 7.000.000 per month,3 hari yang lalu
Data Analytics Manager,PT Fliptech Lentera Inspirasi Pertiwi,Jakarta Raya,Gaji tidak disebutkan,3 hari yang lalu
Data Engineer Lead,PT Fliptech Lentera Inspirasi Pertiwi,Jakarta Raya,Gaji tidak disebutkan,3 hari yang lalu
Product Experience & Evaluation,PT Lippo General Insurance Tbk,Tangerang,Gaji tidak disebutkan,3 hari yang lalu
AI Innovation & Automation Lead,PT Interior Design Indo,Bandung,Rp 5.000.000 – Rp 7.500.000 per month,3 hari yang lalu
AI Engineer,Kataai,Sawah Besar,Gaji tidak disebutkan,3 hari yang lalu
Apprenticeship - Market Researcher,PT Prudential Life Assurance,Jakarta Selatan,Gaji tidak disebutkan,3 hari yang lalu
Data Scientist Credit Scoring,PT Sharing Vision Indonesia,Jakarta Pusat,Gaji tidak disebutkan,3 hari yang lalu
Sales Data & Planning Officer - Layer Commercial,PT Mitra Berlian Unggas,Bandung,Gaji tidak disebutkan,3 hari yang lalu
Data Analyst,"PT. Central Proteina Prima, Tbk",Jakarta Selatan,Gaji tidak disebutkan,3 hari yang lalu
Odoo Analyst and AI Engineer,"PT. Central Proteina Prima, Tbk",Jakarta Raya,Gaji tidak disebutkan,3 hari yang lalu
Data Center IT Engineer,TITANICOM TECH LIMITED,Jakarta Raya,Gaji tidak disebutkan,3 hari yang lalu
Data Engineer,PT Avows Technologies,Jakarta Raya,Rp 7.000.000 – Rp 8.000.000 per month,3 hari yang lalu
Security Engineer,PT Teknologi Inovasi Labs,Cakung,Gaji tidak disebutkan,3 hari yang lalu
Technical Business Analyst,Macquarie Group,Indonesia,Gaji tidak disebutkan,3 hari yang lalu
Business Analyst,Macquarie Group,Indonesia,Gaji tidak disebutkan,3 hari yang lalu
Data Scientist,PT AIA Financial,Jakarta Raya,Gaji tidak disebutkan,3 hari yang lalu
Fulltime Faculty Member - Computer Science (BINUS @Medan Campus),Yayasan Bina Nusantara,Medan,Gaji tidak disebutkan,3 hari yang lalu
DATA ANALYST,A&W Restaurants Indonesia,Jakarta Utara,Gaji tidak disebutkan,3 hari yang lalu
Business Intelligence,SCG,Jakarta Selatan,Gaji tidak disebutkan,3 hari yang lalu
Data Analyst,PT Propan Raya Industrial Coating Chemicals,Tangerang,Gaji tidak disebutkan,3 hari yang lalu
Jr. Data Linguistic,ALPHALITICAL,Kebayoran Lama,Gaji tidak disebutkan,3 hari yang lalu
AI Support Intern,PT. WIZ TECHNOLOGY INDONESIA,Jakarta Raya,Gaji tidak disebutkan,4 hari yang lalu
Regulatory Reporting Business Analyst,Macquarie Group,Indonesia,Gaji tidak disebutkan,4 hari yang lalu
Data Analyst,PT Internet Mulia Untuk Negeri (NEXA),Semarang,Rp 4.500.000 – Rp 5.500.000 per month,4 hari yang lalu
AnyLab Internship Program: AI Agents and Workflow Automation,AnyMind Group,Jakarta Raya,Gaji tidak disebutkan,4 hari yang lalu
Data Analyst for Sales Team,PT.Sinergi Performa Energi Cipta,Kebayoran Lama,Gaji tidak disebutkan,4 hari yang lalu
Market Analyst & Database Staff,Council of Palm Oil Producing Countries (CPOPC),Kemayoran,Gaji tidak disebutkan,4 hari yang lalu
Data Management Supervisor,PT Perindustrian Bapak Djenggot (Orang Tua Group),Jakarta Barat,Gaji tidak disebutkan,4 hari yang lalu
Sales Analyst,PT. Admiral Paragon Jaya,Kabupaten Bogor,Gaji tidak disebutkan,4 hari yang lalu
Data Science (Machine Learning - Lead),PT. Lintas Teknologi Indonesia,Jakarta Raya,Gaji tidak disebutkan,4 hari yang lalu
Data Analyst / PDCA,PT. CBA Chemical Industry,Tangerang,Gaji tidak disebutkan,4 hari yang lalu
Head of Sales Strategy & Analytics,WireHire,Kebayoran Lama,Gaji tidak disebutkan,4 hari yang lalu
Data Operation Center Engineer,Pengiklan Anonim,Tangerang Selatan,Gaji tidak disebutkan,4 hari yang lalu
AI Automation & Process Optimization Assistant Manager,CINEPOLIS INDONESIA,Tangerang,Gaji tidak disebutkan,4 hari yang lalu
Product Manager (Fraud Detection System),PT Empore Hezer Tama,Jakarta Selatan,Gaji tidak disebutkan,4 hari yang lalu
Senior Full Stack,Goodeva Technology,DI Yogyakarta,Gaji tidak disebutkan,4 hari yang lalu
Lab Analyst Junior (ATLM) - Jakarta,Staffinc,Jakarta Raya,Rp 6.500.000 – Rp 6.700.000 per month,4 hari yang lalu
Lead Data Scientist,Populix,Jakarta Raya,Gaji tidak disebutkan,4 hari yang lalu
AI Engineer,PT Cerdas Digital Nusantara,Kecamatan Tangerang,Gaji tidak disebutkan,4 hari yang lalu
Sales Data Analysis,Best Indonesian Gift,Badung,Rp 3.800.000 – Rp 5.000.000 per month,4 hari yang lalu
Research Analyst,PT Katadata Indonesia,Jakarta Selatan,Gaji tidak disebutkan,4 hari yang lalu
Data Analyst,PT Sigma Digital Nusantara,Yogyakarta,Rp 2.500.000 – Rp 3.000.000 per month,4 hari yang lalu
Data Center System Operation Officer,PT CIMB Niaga Auto Finance,Tangerang,Gaji tidak disebutkan,4 hari yang lalu
Analis Data Support,PT PUTRA MANDIRI PERKASA INDONESIA,Jakarta Utara,Rp 5.750.000 – Rp 6.500.000 per month,4 hari yang lalu
AI Automation Developer,PT. Impian Property Management,Badung,Rp 6.000.000 – Rp 8.000.000 per month,4 hari yang lalu
IT Manager (Enterprise Systems & Data),CV Unitech Indonesia,Malang,Gaji tidak disebutkan,4 hari yang lalu
Data Analyst,Catalyst,Kebayoran Lama,Gaji tidak disebutkan,4 hari yang lalu
2027 Graduate Program - Technology,Macquarie Group,Indonesia,Gaji tidak disebutkan,4 hari yang lalu
Jr. Data Engineer,ALPHALITICAL,Kebayoran Lama,Gaji tidak disebutkan,5 hari yang lalu
Executive Assistant to Director,TurnkeyID,Surabaya,Rp 6.000.000 – Rp 9.000.000 per month,5 hari yang lalu
"Data Product Owner, Senior Manager",Macquarie Group,Indonesia,Gaji tidak disebutkan,5 hari yang lalu
Trading Analyst (Pilot),TurnkeyID,Yogyakarta,Rp 4.000.000 – Rp 6.000.000 per month,5 hari yang lalu
ETL Pentaho Developer,PT. BUSINESS ECLOUD INDONESIA INFORMATION TECHNOLOGY,Jakarta Pusat,Gaji tidak disebutkan,5 hari yang lalu
Data Engineer Associate,OTTO Digital,Kebayoran Lama,Gaji tidak disebutkan,5 hari yang lalu
Data Analyst Associate,OTTO Digital,Kebayoran Lama,Gaji tidak disebutkan,5 hari yang lalu
Food Safety Data Analyst,PT. Bionic Natura,Kecamatan Tangerang,Gaji tidak disebutkan,5 hari yang lalu
Analyst Laboratorium Staff,PT Inti Surya Laboratorium,Cisauk,Rp 4.200.000 – Rp 5.000.000 per month,5 hari yang lalu
Research Ops,Aleph,Jakarta Raya,Gaji tidak disebutkan,5 hari yang lalu
Client Data Lead | Fen X,Macquarie Group,Indonesia,Gaji tidak disebutkan,5 hari yang lalu
Akseptasi,PT. Asuransi Umum BCA,Jakarta Raya,Gaji tidak disebutkan,5 hari yang lalu
AI Engineer,PT. UNIVERSAL BAHTERA INDO,Kosambi,Gaji tidak disebutkan,5 hari yang lalu
Operational Compliance & Data Monitoring Officer,PT Chateraise Gobel Indonesia,Jakarta Selatan,Gaji tidak disebutkan,5 hari yang lalu
PERFORMANCE ANALYSIS MANAGER,Pengiklan Anonim,Jakarta Raya,Rp 15.000.000 – Rp 20.000.000 per month,5 hari yang lalu
Data Engineer,PT Digdaya Duta Digital,Setiabudi,Gaji tidak disebutkan,5 hari yang lalu
Senior DWH DBA Engineer,PT Home Credit Indonesia,Jakarta Selatan,Gaji tidak disebutkan,5 hari yang lalu
AI Engineer,PT Digdaya Duta Digital,Setiabudi,Gaji tidak disebutkan,5 hari yang lalu
Product Owner,PT Digdaya Duta Digital,Setiabudi,Gaji tidak disebutkan,5 hari yang lalu
Lead Engineer,PT Digdaya Duta Digital,Setiabudi,Gaji tidak disebutkan,5 hari yang lalu
Artificial Intelligence Engineer,PT Macbramindo Harum Abadi,Tangerang,Gaji tidak disebutkan,5 hari yang lalu
Analisis Bioinformatika,Institut Teknologi Del,Toba Samosir,Gaji tidak disebutkan,5 hari yang lalu
Growth Operations Analyst / Data Analyst,PT. Rupa Aestetika Teknologi Aktual (RATA),Kebayoran Lama,Gaji tidak disebutkan,5 hari yang lalu
Data Analyst,PT. Solusi Jasa Teknologi,Tangerang,Rp 7.000.000 – Rp 8.000.000 per month,5 hari yang lalu
AI Engineer Internship,OPPO Indonesia,Tangerang,Rp 3.000.000 per month,5 hari yang lalu
AI Engineer,PT Graha Karya Informasi,Jakarta Pusat,Rp 13.000.000 – Rp 18.000.000 per month,5 hari yang lalu
Data Engineer,PT Graha Karya Informasi,Jakarta Raya,Rp 10.000.000 – Rp 13.000.000 per month,5 hari yang lalu
System Analyst,PT. Youzan International Indonesia,Jakarta Barat,Gaji tidak disebutkan,6 hari yang lalu
LSMPA Data Analyst,Konservasi Indonesia,Kebayoran Lama,Gaji tidak disebutkan,6 hari yang lalu
Statistic Clerk,PT.Elecmetal Longteng Indonesia,Kabupaten Batang,Gaji tidak disebutkan,6 hari yang lalu
Supervisor Data Analyst Marketing,PT Nissin Foods Indonesia,Jakarta Selatan,Gaji tidak disebutkan,6 hari yang lalu
PRODUCT DATA SPECIALIST,CV.KARYA PRATAMA PERKASA,Denpasar Utara,Rp 3.500.000 – Rp 5.000.000 per month,7 hari yang lalu
Sales Data Analyst,PT Arta Boga Cemerlang,Surakarta,"Rp 2,500,000 – Rp 3,000,000 per month",7 hari yang lalu
AI Sales Lead / Solution Lead – Banking (AI & GenAI),PT Simplify Consulting Indonesia,Jakarta Raya,Gaji tidak disebutkan,7 hari yang lalu
Analisis Data Spesialist platform Mandarin Speaker,PT. Zhisheng Pacific Trading (Mixue),Jakarta Raya,Rp 10.000.000 – Rp 15.000.000 per month,7 hari yang lalu
SALES DATA ANALYST STAFF,FA Merak,Jawa Barat,Gaji tidak disebutkan,7 hari yang lalu
STRATEGIC PLANNING OFFICER,PT Maritim Barito Perkasa (Adaro Logistics Group),Jakarta Raya,Gaji tidak disebutkan,8 hari yang lalu
DATA ANALAYST (FRAUD MONITORING),PT Karya Solusi Prima Sejahtera,Tangerang,Rp 4.500.000 – Rp 5.100.000 per month,8 hari yang lalu
Business Analyst (AI Optimization),VisionTech Pte. Ltd,Jakarta Raya,"Rp 10,000,000 – Rp 15,000,000 per month",8 hari yang lalu
Business Intelligence,Deliveree (PT Angkut Teknologi Indonesia),Jakarta Raya,Gaji tidak disebutkan,8 hari yang lalu
Data Support Spv - Consumer Good,Pengiklan Anonim,Jakarta Raya,Rp 6.000.000 – Rp 9.000.000 per month,8 hari yang lalu
DATA ANALYST,PT Alun Indah,Jakarta Raya,Gaji tidak disebutkan,8 hari yang lalu
Data Scientist,PT Sisindokom Lintasbuana,Jakarta Pusat,Gaji tidak disebutkan,8 hari yang lalu
Sensory Analyst,PT Nojorono Tobacco International,Kudus Kota,Gaji tidak disebutkan,8 hari yang lalu
Data Analyst President's Office Officer,Yayasan Bina Nusantara,Tangerang,Gaji tidak disebutkan,8 hari yang lalu
DATA ANALIS,MIKALINDO BAKTI CEMERLANG,Jakarta Barat,"Rp 6,000,000 – Rp 7,000,000 per month",8 hari yang lalu
Data Center Architect,PT. RJGF International Indonesia,Jakarta Raya,Gaji tidak disebutkan,8 hari yang lalu
Supply Chain Management & Data Analytics Manager,PT Mitra Berlian Unggas,Bandung,Gaji tidak disebutkan,8 hari yang lalu
Production Data & Planning Officer - Layer Commercial,PT Mitra Berlian Unggas,Bandung,Gaji tidak disebutkan,8 hari yang lalu
MIS Developer,PT Indocyber Global Teknologi,Jakarta Raya,Gaji tidak disebutkan,8 hari yang lalu
Data Analyst,PT Ratna Asia,Surabaya,Gaji tidak disebutkan,8 hari yang lalu
AI Engineer,TUNTUN SEKURITAS INDONESIA,Jakarta Utara,Gaji tidak disebutkan,8 hari yang lalu
Data Engineer,TUNTUN SEKURITAS INDONESIA,Jakarta Utara,Gaji tidak disebutkan,8 hari yang lalu
Data Scientist,"PT. Metrodata Electronics, Tbk",Kalideres,Gaji tidak disebutkan,8 hari yang lalu
22. IT BUSINESS APPLICATION,PT Yamaha Motor Electronics Indonesia,Pulo Gadung,Gaji tidak disebutkan,8 hari yang lalu
Data Analyst,PT. MAX AUTO INDONESIA,Semarang,Gaji tidak disebutkan,8 hari yang lalu
Artificial Intelligence Manager,PT. TRANSNOVASI BANGUN PERSADA,Jakarta Timur,Gaji tidak disebutkan,8 hari yang lalu
Data Support Project Intern (GBS ID Agency) - 2026 Start (BS/MS),TIKTOK PTE LTD (TIKTOK),Jakarta Utara,Gaji tidak disebutkan,9 hari yang lalu
Pricing Analyst,PT Luxehouze Group Indonesia,Jakarta Raya,Gaji tidak disebutkan,9 hari yang lalu
Data Engineer,PT Binajasa Sumber Sarana (BSS Recruitment),Jakarta Selatan,Rp 6.000.000 – Rp 6.250.000 per month,9 hari yang lalu
Executive - Data Analyst || Finance Platform Solution,Macquarie Group,Indonesia,Gaji tidak disebutkan,9 hari yang lalu
Data Analytic Outsource (12 months),PT Asuransi Allianz Life Indonesia,Jakarta Raya,Gaji tidak disebutkan,9 hari yang lalu
System Analyst,PT Tri Digital Perkasa (Volantis Technology),DI Yogyakarta,Gaji tidak disebutkan,9 hari yang lalu
Data Analyst Staff,PT Lintas Semesta,Tangerang,Gaji tidak disebutkan,9 hari yang lalu
Business Analyst Staff,Indofood Group,Kebayoran Lama,Gaji tidak disebutkan,9 hari yang lalu
AI Project Management Officer - SPX Express,Shopee Internasional Indonesia,Jakarta Raya,Gaji tidak disebutkan,9 hari yang lalu
Data Collection Officer,PT Suracojaya Abadimotor (Makassar),Makassar,Rp 4.150.000 per month,9 hari yang lalu
Supervisor Data Analyst & Supply Chain (Retail Fashion),Blessindo (Bandung),Cimahi,Rp 6.500.000 – Rp 9.000.000 per month,9 hari yang lalu
Data Analyst,PT Global Yimi Cargo (J&T Cargo),Makassar,Gaji tidak disebutkan,9 hari yang lalu
Junior AI & Data Engineer,PT Solusi Prima Packaging,Tangerang Selatan,Gaji tidak disebutkan,9 hari yang lalu
Product & Market Intelligence Staf,PT Venamon,Bandung,Rp 6.000.000 – Rp 9.000.000 per month,9 hari yang lalu
Operation Analyst and Data Reconciliation,PT Mitra Kasih Perkasa,Semarang,Gaji tidak disebutkan,9 hari yang lalu
Asst Marketing Data & Insight Manager,Kawan Lama Group,Jakarta Raya,Gaji tidak disebutkan,9 hari yang lalu
Azure AI Engineer - Indonesia,CLaaS2SaaS,Jakarta Raya,"Rp 12,000,000 – Rp 14,000,000 per month",9 hari yang lalu
Mathematics IGCSE,Prime One School,Medan,Gaji tidak disebutkan,9 hari yang lalu
Senior Data Scientist,PT PEFINDO Biro Kredit,Jakarta Selatan,Gaji tidak disebutkan,9 hari yang lalu
Senior Data and Security Engineer,Macquarie Group,Indonesia,Gaji tidak disebutkan,9 hari yang lalu
Product Manager,PT Babat Alas Solusi,Kecamatan Tangerang,Gaji tidak disebutkan,10 hari yang lalu
Market Research - Data Analyst Media Advertising OOH,Devis Jaya,Jakarta Raya,Gaji tidak disebutkan,10 hari yang lalu
Secretary to Director (Personal Assistant),Pengiklan Anonim,Jakarta Raya,Gaji tidak disebutkan,10 hari yang lalu
Senior Research Manager,Ravenry,Jakarta Selatan,"Rp 18,000,000 – Rp 27,000,000 per month",10 hari yang lalu
Data Scientist Intern,PT CRIF Lembaga Informasi Keuangan,Setiabudi,Gaji tidak disebutkan,10 hari yang lalu
Market Data Contracts Analyst,Macquarie Group,Indonesia,Gaji tidak disebutkan,10 hari yang lalu
PRODUCT SYSTEM IMPLEMENTATION ANALYST,PT Intrias Mandiri Sejati,Jakarta Raya,Rp 8.500.000 – Rp 9.000.000 per month,10 hari yang lalu
